@relation magnetic

@attribute id {1,2,3,4,5,6,0}

@attribute x numeric
@attribute y numeric
@attribute z numeric
@data

1,14.18366,3.0521686,24.428041
1,14.18366,3.0521686,24.428041
1,14.325927,3.0708904,24.33619
1,14.325927,3.0708904,24.33619
1,14.280641,3.0666833,24.299
1,14.274056,3.0939105,24.459265
1,14.274056,3.0939105,24.459265
1,14.37916,3.116972,24.517344
1,14.373728,3.134041,24.597374
1,14.373728,3.134041,24.597374
1,14.3354025,3.1294477,24.585543
1,14.35339,3.1634016,24.730034
1,14.35339,3.1634016,24.730034
1,14.392599,3.1625562,24.734846
1,14.432573,3.1781359,24.823742
1,14.432573,3.1781359,24.823742
1,14.401645,3.197475,24.905241
1,14.427218,3.204444,24.9413
1,14.427218,3.204444,24.9413
1,14.427218,3.204444,24.9413
1,14.453889,3.218933,24.976772
1,14.422931,3.2233667,25.018745
1,14.422931,3.2233667,25.018745
1,14.482239,3.2419195,25.04329
1,14.482239,3.2419195,25.04329
1,14.517394,3.24166,25.00388
1,14.5299635,3.2446308,24.917967
1,14.5299635,3.2446308,24.917967
1,14.458789,3.2583153,25.08161
1,14.522623,3.2686334,25.080381
1,14.522623,3.2686334,25.080381
1,14.5624275,3.254853,24.958286
1,14.526936,3.2312481,24.90327
1,14.526936,3.2312481,24.90327
1,14.4265785,3.2565045,25.108303
1,14.398232,3.2354693,25.058064
1,14.398232,3.2354693,25.058064
1,14.517099,3.208741,24.817924
1,14.4250765,3.1893115,24.760714
1,14.4250765,3.1893115,24.760714
1,14.34267,3.193758,24.898981
1,14.302996,3.1990223,24.90183
1,14.302996,3.1990223,24.90183
1,14.398277,3.1644373,24.647305
1,14.267665,3.1413507,24.596136
1,14.267665,3.1413507,24.596136
1,14.267665,3.1413507,24.596136
1,14.257816,3.1317687,24.531744
1,14.257816,3.1317687,24.531744
1,14.217277,3.1535602,24.73185
1,14.289351,3.1575518,24.632683
1,14.289351,3.1575518,24.632683
1,14.299988,3.1328614,24.510218
1,14.250006,3.1336365,24.588806
1,14.250006,3.1336365,24.588806
1,14.284591,3.1664135,24.780685
1,14.446032,3.1540136,24.733618
1,14.446032,3.1540136,24.733618
1,14.438493,3.153247,24.714617
1,14.513407,3.1786797,24.91635
1,14.513407,3.1786797,24.91635
1,14.597839,3.1927056,25.030403
1,14.677088,3.2264757,25.199478
1,14.677088,3.2264757,25.199478
1,14.698657,3.217655,25.217432
1,14.77887,3.2347307,25.36072
1,14.77887,3.2347307,25.36072
1,14.789898,3.2417524,25.387383
1,14.805558,3.2426953,25.388695
1,14.824696,3.2335913,25.43394
1,14.824696,3.2335913,25.43394
1,14.815293,3.2440612,25.454592
1,14.815293,3.2440612,25.454592
1,14.7933445,3.231305,25.464458
1,14.811348,3.2271237,25.432339
1,14.811348,3.2271237,25.432339
1,14.802922,3.2479703,25.456028
1,14.768568,3.2418973,25.554344
1,14.768568,3.2418973,25.554344
1,14.776966,3.2444935,25.461315
1,14.771327,3.250306,25.510464
1,14.771327,3.250306,25.510464
1,14.876538,3.2578192,25.536081
1,14.846426,3.2995105,25.775322
1,14.846426,3.2995105,25.775322
1,14.790289,3.294293,25.79273
1,14.878326,3.2798781,25.669937
1,14.878326,3.2798781,25.669937
1,14.878326,3.2798781,25.669937
1,14.832335,3.2982845,25.809837
1,14.832335,3.2982845,25.809837
1,14.918702,3.2850447,25.748808
1,14.878168,3.272852,25.69296
1,14.878168,3.272852,25.69296
